,Unnamed: 0,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
0,24208,24214,1010,846,1,4,8,12,12,12,0.0,57,0,0,17,16,88.555,215.581,11
1,24222,24228,1011,846,1,4,9,6,6,6,8.0,57,+45.754,5707049,14,12,95.777,203.422,1
2,24254,24260,1012,846,1,4,15,18,18,18,0.0,50,0,0,37,15,98.346,199.536,4
3,24264,24270,1013,846,1,4,7,8,8,8,4.0,51,+1:40.268,5613210,43,6,105.394,205.047,1
4,24296,24302,1014,846,1,4,10,0,R,20,0.0,44,0,0,28,18,82.561,202.977,4
5,24310,24316,1015,846,1,4,12,11,11,11,0.0,78,+1:06.801,6275238,61,13,76.413,157.214,1
6,24339,24345,1016,846,1,4,8,0,R,20,0.0,8,0,0,4,20,78.023,201.217,22
7,24348,24354,1017,846,1,4,5,9,9,9,2.0,52,0,0,45,7,94.754,221.955,11
8,24365,24371,1018,846,1,4,5,6,6,6,8.0,70,0,0,69,8,68.699,226.274,11
9,24390,24396,1019,846,1,4,8,11,11,11,0.0,52,+1:14.281,4942733,50,10,89.636,236.596,1
10,24417,24423,1020,846,1,4,19,0,R,18,0.0,25,0,0,16,18,91.081,180.788,75
11,24428,24434,1021,846,1,4,7,9,9,9,2.0,69,0,0,65,13,81.188,194.26,11
12,24450,24456,1022,846,1,4,11,11,11,11,0.0,43,0,0,21,8,108.321,232.774,5
13,24469,24475,1023,846,1,4,16,10,10,10,1.0,52,0,0,52,11,84.044,248.141,11
14,24486,24492,1024,846,1,4,9,7,7,7,6.0,61,+14.769,7128436,58,11,105.716,172.412,1
15,24507,24513,1025,846,1,4,7,8,8,8,4.0,53,+57.749,5676741,52,11,98.301,214.166,1
16,24530,24536,1026,846,1,4,8,11,11,11,0.0,51,0,0,31,13,94.116,222.121,11
17,24559,24565,1027,846,1,4,8,0,R,20,0.0,48,0,0,46,19,81.643,189.782,54
18,24567,24572,1028,846,1,4,8,7,7,7,6.0,56,+1:30.764,5726417,44,4,98.074,202.365,1
19,24588,24593,1029,846,1,4,10,8,8,8,4.0,71,+11.204,5605882,63,7,72.328,214.472,1
20,24608,24613,1030,846,1,4,6,8,8,8,4.0,54,0,0,50,12,103.026,194.071,11
21,24622,24628,1031,846,1,4,3,3,3,3,16.0,71,+5.491,5461230,71,1,67.475,230.378,1
22,24644,24650,1032,846,1,4,9,5,5,5,10.0,71,+1:01.470,5032153,66,5,67.193,231.345,1
23,24672,24678,1033,846,1,4,8,13,13,13,0.0,69,0,0,42,8,79.945,197.28,11
24,24684,24690,1034,846,1,4,5,5,5,5,10.0,52,+22.277,5303560,41,12,90.05799999999999,235.488,1
25,24708,24714,1035,846,1,4,10,9,9,9,2.0,52,+1:05.544,4847537,49,11,90.698,233.826,1
26,24729,24735,1036,846,1,4,8,10,10,10,1.0,65,0,0,56,13,82.392,203.393,11
27,24746,24752,1037,846,1,4,10,7,7,7,6.0,44,+43.774,5092535,39,11,108.552,232.279,1
