,driverId,drivname,year,wins,totalpoints
0,18,Jenson Button,2000,0,12
1,18,Jenson Button,2001,0,2
2,18,Jenson Button,2002,0,14
3,18,Jenson Button,2003,0,17
4,18,Jenson Button,2004,0,85
5,18,Jenson Button,2005,0,37
6,18,Jenson Button,2006,1,56
7,18,Jenson Button,2007,0,6
8,18,Jenson Button,2008,0,3
9,18,Jenson Button,2009,6,95
10,18,Jenson Button,2010,2,214
11,18,Jenson Button,2011,3,270
12,18,Jenson Button,2012,3,188
13,18,Jenson Button,2013,0,73
14,18,Jenson Button,2014,0,126
15,18,Jenson Button,2015,0,16
16,18,Jenson Button,2016,0,21
17,18,Jenson Button,2017,0,0
18,8,Kimi Räikkönen,2001,0,9
19,8,Kimi Räikkönen,2002,0,24
20,8,Kimi Räikkönen,2003,1,91
21,8,Kimi Räikkönen,2004,1,45
22,8,Kimi Räikkönen,2005,7,112
23,8,Kimi Räikkönen,2006,0,65
24,8,Kimi Räikkönen,2007,6,110
25,8,Kimi Räikkönen,2008,2,75
26,8,Kimi Räikkönen,2009,1,48
27,8,Kimi Räikkönen,2012,1,207
28,8,Kimi Räikkönen,2013,1,183
29,8,Kimi Räikkönen,2014,0,55
30,8,Kimi Räikkönen,2015,0,150
31,8,Kimi Räikkönen,2016,0,186
32,8,Kimi Räikkönen,2017,0,205
33,8,Kimi Räikkönen,2018,1,251
34,8,Kimi Räikkönen,2019,0,43
35,8,Kimi Räikkönen,2020,0,4
36,8,Kimi Räikkönen,2021,0,10
37,4,Fernando Alonso,2001,0,0
38,4,Fernando Alonso,2003,1,55
39,4,Fernando Alonso,2004,0,59
40,4,Fernando Alonso,2005,7,133
41,4,Fernando Alonso,2006,7,134
42,4,Fernando Alonso,2007,4,109
43,4,Fernando Alonso,2008,2,61
44,4,Fernando Alonso,2009,0,26
45,4,Fernando Alonso,2010,5,252
46,4,Fernando Alonso,2011,1,257
47,4,Fernando Alonso,2012,3,278
48,4,Fernando Alonso,2013,2,242
49,4,Fernando Alonso,2014,0,161
50,4,Fernando Alonso,2015,0,11
51,4,Fernando Alonso,2016,0,54
52,4,Fernando Alonso,2017,0,17
53,4,Fernando Alonso,2018,0,50
54,4,Fernando Alonso,2021,0,81
55,4,Fernando Alonso,2022,0,81
56,4,Fernando Alonso,2023,0,198
57,4,Fernando Alonso,2024,0,41
58,13,Felipe Massa,2002,0,4
59,13,Felipe Massa,2004,0,12
60,13,Felipe Massa,2005,0,11
61,13,Felipe Massa,2006,2,80
62,13,Felipe Massa,2007,3,94
63,13,Felipe Massa,2008,6,97
64,13,Felipe Massa,2009,0,22
65,13,Felipe Massa,2010,0,144
66,13,Felipe Massa,2011,0,118
67,13,Felipe Massa,2012,0,122
68,13,Felipe Massa,2013,0,112
69,13,Felipe Massa,2014,0,134
70,13,Felipe Massa,2015,0,121
71,13,Felipe Massa,2016,0,53
72,13,Felipe Massa,2017,0,43
73,9,Robert Kubica,2006,0,6
74,9,Robert Kubica,2007,0,39
75,9,Robert Kubica,2008,1,75
76,9,Robert Kubica,2009,0,17
77,9,Robert Kubica,2010,0,136
78,9,Robert Kubica,2019,0,1
79,9,Robert Kubica,2021,0,0
80,3,Nico Rosberg,2006,0,4
81,3,Nico Rosberg,2007,0,20
82,3,Nico Rosberg,2008,0,17
83,3,Nico Rosberg,2009,0,34.5
84,3,Nico Rosberg,2010,0,142
85,3,Nico Rosberg,2011,0,89
86,3,Nico Rosberg,2012,1,93
87,3,Nico Rosberg,2013,2,171
88,3,Nico Rosberg,2014,5,317
89,3,Nico Rosberg,2015,6,322
90,3,Nico Rosberg,2016,9,385
91,16,Adrian Sutil,2007,0,1
92,16,Adrian Sutil,2008,0,0
93,16,Adrian Sutil,2009,0,5
94,16,Adrian Sutil,2010,0,47
95,16,Adrian Sutil,2011,0,42
96,16,Adrian Sutil,2013,0,29
97,16,Adrian Sutil,2014,0,0
98,1,Lewis Hamilton,2007,4,109
99,1,Lewis Hamilton,2008,5,98
100,1,Lewis Hamilton,2009,2,49
101,1,Lewis Hamilton,2010,3,240
102,1,Lewis Hamilton,2011,3,227
103,1,Lewis Hamilton,2012,4,190
104,1,Lewis Hamilton,2013,1,189
105,1,Lewis Hamilton,2014,11,384
106,1,Lewis Hamilton,2015,10,381
107,1,Lewis Hamilton,2016,10,380
108,1,Lewis Hamilton,2017,9,363
109,1,Lewis Hamilton,2018,11,408
110,1,Lewis Hamilton,2019,11,413
111,1,Lewis Hamilton,2020,11,347
112,1,Lewis Hamilton,2021,8,385.5
113,1,Lewis Hamilton,2022,0,233
114,1,Lewis Hamilton,2023,0,217
115,1,Lewis Hamilton,2024,0,75
116,20,Sebastian Vettel,2007,0,6
117,20,Sebastian Vettel,2008,1,35
118,20,Sebastian Vettel,2009,4,84
119,20,Sebastian Vettel,2010,5,256
120,20,Sebastian Vettel,2011,11,392
121,20,Sebastian Vettel,2012,5,281
122,20,Sebastian Vettel,2013,13,397
123,20,Sebastian Vettel,2014,0,167
124,20,Sebastian Vettel,2015,3,278
125,20,Sebastian Vettel,2016,0,212
126,20,Sebastian Vettel,2017,5,317
127,20,Sebastian Vettel,2018,5,320
128,20,Sebastian Vettel,2019,1,240
129,20,Sebastian Vettel,2020,0,33
130,20,Sebastian Vettel,2021,0,43
131,20,Sebastian Vettel,2022,0,37
132,154,Romain Grosjean,2009,0,0
133,154,Romain Grosjean,2012,0,96
134,154,Romain Grosjean,2013,0,132
135,154,Romain Grosjean,2014,0,8
136,154,Romain Grosjean,2015,0,51
137,154,Romain Grosjean,2016,0,29
138,154,Romain Grosjean,2017,0,28
139,154,Romain Grosjean,2018,0,37
140,154,Romain Grosjean,2019,0,8
141,154,Romain Grosjean,2020,0,2
142,155,Kamui Kobayashi,2009,0,3
143,155,Kamui Kobayashi,2010,0,32
144,155,Kamui Kobayashi,2011,0,30
145,155,Kamui Kobayashi,2012,0,60
146,155,Kamui Kobayashi,2014,0,0
147,807,Nico Hülkenberg,2010,0,22
148,807,Nico Hülkenberg,2012,0,63
149,807,Nico Hülkenberg,2013,0,51
150,807,Nico Hülkenberg,2014,0,96
151,807,Nico Hülkenberg,2015,0,58
152,807,Nico Hülkenberg,2016,0,72
153,807,Nico Hülkenberg,2017,0,43
154,807,Nico Hülkenberg,2018,0,69
155,807,Nico Hülkenberg,2019,0,37
156,807,Nico Hülkenberg,2020,0,10
157,807,Nico Hülkenberg,2022,0,0
158,807,Nico Hülkenberg,2023,0,6
159,807,Nico Hülkenberg,2024,0,12
160,815,Sergio Pérez,2011,0,14
161,815,Sergio Pérez,2012,0,66
162,815,Sergio Pérez,2013,0,49
163,815,Sergio Pérez,2014,0,59
164,815,Sergio Pérez,2015,0,78
165,815,Sergio Pérez,2016,0,101
166,815,Sergio Pérez,2017,0,100
167,815,Sergio Pérez,2018,0,62
168,815,Sergio Pérez,2019,0,52
169,815,Sergio Pérez,2020,1,125
170,815,Sergio Pérez,2021,1,190
171,815,Sergio Pérez,2022,2,291
172,815,Sergio Pérez,2023,2,260
173,815,Sergio Pérez,2024,0,105
174,813,Pastor Maldonado,2011,0,1
175,813,Pastor Maldonado,2012,1,45
176,813,Pastor Maldonado,2013,0,1
177,813,Pastor Maldonado,2014,0,2
178,813,Pastor Maldonado,2015,0,27
179,814,Paul di Resta,2011,0,27
180,814,Paul di Resta,2012,0,46
181,814,Paul di Resta,2013,0,48
182,814,Paul di Resta,2017,0,0
183,817,Daniel Ricciardo,2011,0,0
184,817,Daniel Ricciardo,2012,0,10
185,817,Daniel Ricciardo,2013,0,20
186,817,Daniel Ricciardo,2014,3,238
187,817,Daniel Ricciardo,2015,0,92
188,817,Daniel Ricciardo,2016,1,256
189,817,Daniel Ricciardo,2017,1,200
190,817,Daniel Ricciardo,2018,2,170
191,817,Daniel Ricciardo,2019,0,54
192,817,Daniel Ricciardo,2020,0,119
193,817,Daniel Ricciardo,2021,1,114
194,817,Daniel Ricciardo,2022,0,34
195,817,Daniel Ricciardo,2023,0,6
196,817,Daniel Ricciardo,2024,0,6
197,818,Jean-Éric Vergne,2012,0,16
198,818,Jean-Éric Vergne,2013,0,13
199,818,Jean-Éric Vergne,2014,0,22
200,821,Esteban Gutiérrez,2013,0,6
201,821,Esteban Gutiérrez,2014,0,0
202,821,Esteban Gutiérrez,2016,0,0
203,820,Max Chilton,2013,0,0
204,820,Max Chilton,2014,0,0
205,824,Jules Bianchi,2013,0,0
206,824,Jules Bianchi,2014,0,2
207,822,Valtteri Bottas,2013,0,4
208,822,Valtteri Bottas,2014,0,186
209,822,Valtteri Bottas,2015,0,136
210,822,Valtteri Bottas,2016,0,85
211,822,Valtteri Bottas,2017,3,305
212,822,Valtteri Bottas,2018,0,247
213,822,Valtteri Bottas,2019,4,326
214,822,Valtteri Bottas,2020,2,223
215,822,Valtteri Bottas,2021,1,219
216,822,Valtteri Bottas,2022,0,47
217,822,Valtteri Bottas,2023,0,10
218,822,Valtteri Bottas,2024,0,0
219,825,Kevin Magnussen,2014,0,55
220,825,Kevin Magnussen,2015,0,0
221,825,Kevin Magnussen,2016,0,7
222,825,Kevin Magnussen,2017,0,19
223,825,Kevin Magnussen,2018,0,56
224,825,Kevin Magnussen,2019,0,20
225,825,Kevin Magnussen,2020,0,1
226,825,Kevin Magnussen,2022,0,21
227,825,Kevin Magnussen,2023,0,3
228,825,Kevin Magnussen,2024,0,5
229,826,Daniil Kvyat,2014,0,8
230,826,Daniil Kvyat,2015,0,95
231,826,Daniil Kvyat,2016,0,25
232,826,Daniil Kvyat,2017,0,5
233,826,Daniil Kvyat,2019,0,37
234,826,Daniil Kvyat,2020,0,32
235,828,Marcus Ericsson,2014,0,0
236,828,Marcus Ericsson,2015,0,9
237,828,Marcus Ericsson,2016,0,0
238,828,Marcus Ericsson,2017,0,0
239,828,Marcus Ericsson,2018,0,9
240,827,André Lotterer,2014,0,0
241,829,Will Stevens,2014,0,0
242,829,Will Stevens,2015,0,0
243,832,Carlos Sainz,2015,0,18
244,832,Carlos Sainz,2016,0,46
245,832,Carlos Sainz,2017,0,54
246,832,Carlos Sainz,2018,0,53
247,832,Carlos Sainz,2019,0,96
248,832,Carlos Sainz,2020,0,105
249,832,Carlos Sainz,2021,0,163.5
250,832,Carlos Sainz,2022,1,228
251,832,Carlos Sainz,2023,1,178
252,832,Carlos Sainz,2024,1,123
253,831,Felipe Nasr,2015,0,27
254,831,Felipe Nasr,2016,0,2
255,833,Roberto Merhi,2015,0,0
256,834,Alexander Rossi,2015,0,0
257,830,Max Verstappen,2015,0,49
258,830,Max Verstappen,2016,1,204
